city,neighborhood,state_code,label
Rio Branco,Centro,AC,Rio Branco - Centro - AC
Rio Branco,Bosque,AC,Rio Branco - Bosque - AC
Rio Branco,Estacao Experimental,AC,Rio Branco - Estacao Experimental - AC
Rio Branco,Cadeia Velha,AC,Rio Branco - Cadeia Velha - AC
Rio Branco,Vila Ivonete,AC,Rio Branco - Vila Ivonete - AC
Rio Branco,Aviario,AC,Rio Branco - Aviario - AC
Rio Branco,Floresta,AC,Rio Branco - Floresta - AC
Rio Branco,Conjunto Tucuma,AC,Rio Branco - Conjunto Tucuma - AC
Maceio,Pajucara,AL,Maceio - Pajucara - AL
Maceio,Ponta Verde,AL,Maceio - Ponta Verde - AL
Maceio,Jatiuca,AL,Maceio - Jatiuca - AL
Maceio,Farol,AL,Maceio - Farol - AL
Maceio,Gruta de Lourdes,AL,Maceio - Gruta de Lourdes - AL
Maceio,Cruz das Almas,AL,Maceio - Cruz das Almas - AL
Maceio,Jaragua,AL,Maceio - Jaragua - AL
Maceio,Bebedouro,AL,Maceio - Bebedouro - AL
Macapa,Central,AP,Macapa - Central - AP
Macapa,Trem,AP,Macapa - Trem - AP
Macapa,Pacoval,AP,Macapa - Pacoval - AP
Macapa,Buritizal,AP,Macapa - Buritizal - AP
Macapa,Infraero,AP,Macapa - Infraero - AP
Macapa,Universidade,AP,Macapa - Universidade - AP
Macapa,Novo Horizonte,AP,Macapa - Novo Horizonte - AP
Macapa,Santa Rita,AP,Macapa - Santa Rita - AP
Manaus,Centro,AM,Manaus - Centro - AM
Manaus,Adrianopolis,AM,Manaus - Adrianopolis - AM
Manaus,Nossa Senhora das Gracas,AM,Manaus - Nossa Senhora das Gracas - AM
Manaus,Parque 10 de Novembro,AM,Manaus - Parque 10 de Novembro - AM
Manaus,Dom Pedro,AM,Manaus - Dom Pedro - AM
Manaus,Alvorada,AM,Manaus - Alvorada - AM
Manaus,Compensa,AM,Manaus - Compensa - AM
Manaus,Cidade Nova,AM,Manaus - Cidade Nova - AM
Salvador,Barra,BA,Salvador - Barra - BA
Salvador,Graça,BA,Salvador - Graça - BA
Salvador,Pituba,BA,Salvador - Pituba - BA
Salvador,Caminho das Arvores,BA,Salvador - Caminho das Arvores - BA
Salvador,Itaigara,BA,Salvador - Itaigara - BA
Salvador,Rio Vermelho,BA,Salvador - Rio Vermelho - BA
Salvador,Ondina,BA,Salvador - Ondina - BA
Salvador,Brotas,BA,Salvador - Brotas - BA
Fortaleza,Aldeota,CE,Fortaleza - Aldeota - CE
Fortaleza,Meireles,CE,Fortaleza - Meireles - CE
Fortaleza,Cocó,CE,Fortaleza - Cocó - CE
Fortaleza,Dionisio Torres,CE,Fortaleza - Dionisio Torres - CE
Fortaleza,Varjota,CE,Fortaleza - Varjota - CE
Fortaleza,Papicu,CE,Fortaleza - Papicu - CE
Fortaleza,Centro,CE,Fortaleza - Centro - CE
Fortaleza,Fatima,CE,Fortaleza - Fatima - CE
Brasilia,Asa Sul,DF,Brasilia - Asa Sul - DF
Brasilia,Asa Norte,DF,Brasilia - Asa Norte - DF
Brasilia,Lago Sul,DF,Brasilia - Lago Sul - DF
Brasilia,Lago Norte,DF,Brasilia - Lago Norte - DF
Brasilia,Sudoeste,DF,Brasilia - Sudoeste - DF
Brasilia,Octogonal,DF,Brasilia - Octogonal - DF
Brasilia,Noroeste,DF,Brasilia - Noroeste - DF
Brasilia,Guara,DF,Brasilia - Guara - DF
Vitoria,Praia do Canto,ES,Vitoria - Praia do Canto - ES
Vitoria,Jardim da Penha,ES,Vitoria - Jardim da Penha - ES
Vitoria,Jardim Camburi,ES,Vitoria - Jardim Camburi - ES
Vitoria,Bento Ferreira,ES,Vitoria - Bento Ferreira - ES
Vitoria,Mata da Praia,ES,Vitoria - Mata da Praia - ES
Vitoria,Enseada do Sua,ES,Vitoria - Enseada do Sua - ES
Vitoria,Centro,ES,Vitoria - Centro - ES
Vitoria,Santa Lucia,ES,Vitoria - Santa Lucia - ES
Goiania,Setor Bueno,GO,Goiania - Setor Bueno - GO
